"","DIA","MES","ANIO","HORA","CO_CENTENARIO","NO2_CENTENARIO","PM10_CENTENARIO","CO_CORDOBA","NO2_CORDOBA","PM10_CORDOBA","CO_LA_BOCA","NO2_LA_BOCA","PM10_LA_BOCA"
"1",1,"Ene",2017,1,0.7,NA,NA,0.81,19,19,NA,2,43
"2",1,"Ene",2017,2,0.72,NA,NA,0.79,16,20,NA,2,46
"3",1,"Ene",2017,3,0.72,NA,NA,0.82,23,19,NA,1,46
"4",1,"Ene",2017,4,0.73,NA,NA,0.81,16,20,NA,2,51
"5",1,"Ene",2017,5,0.73,NA,NA,0.73,11,20,NA,2,50
"6",1,"Ene",2017,6,0.69,NA,NA,0.65,11,20,NA,2,49
"7",1,"Ene",2017,7,0.63,NA,NA,0.6,14,20,NA,3,49
"8",1,"Ene",2017,8,0.61,NA,NA,0.57,18,20,NA,3,49
"9",1,"Ene",2017,9,0.6,NA,NA,0.55,18,21,NA,2,50
"10",1,"Ene",2017,10,0.57,NA,NA,0.52,15,23,NA,3,50
"11",1,"Ene",2017,11,0.55,NA,NA,0.44,14,23,NA,2,48
"12",1,"Ene",2017,12,0.52,NA,NA,0.4,15,22,NA,2,47
"13",1,"Ene",2017,13,0.49,NA,NA,0.4,16,22,NA,1,47
"14",1,"Ene",2017,14,0.48,NA,NA,0.41,17,21,NA,2,46
"15",1,"Ene",2017,15,0.46,NA,NA,0.42,18,21,NA,1,47
"16",1,"Ene",2017,16,0.44,NA,NA,0.41,21,20,NA,1,45
"17",1,"Ene",2017,17,0.42,NA,NA,0.43,18,20,NA,2,46
"18",1,"Ene",2017,18,0.42,NA,NA,0.45,18,20,NA,1,46
"19",1,"Ene",2017,19,0.43,NA,NA,0.5,24,20,NA,1,45
"20",1,"Ene",2017,20,0.43,NA,NA,0.55,28,20,NA,2,42
"21",1,"Ene",2017,21,0.44,NA,NA,0.61,30,20,NA,3,37
"22",1,"Ene",2017,22,0.46,NA,NA,0.68,32,19,NA,3,36
"23",1,"Ene",2017,23,0.48,NA,NA,0.7,27,22,NA,3,37
"24",1,"Ene",2017,24,0.48,NA,NA,0.7,23,24,NA,3,36
"25",2,"Ene",2017,1,0.49,NA,NA,0.71,22,25,NA,5,33
"26",2,"Ene",2017,2,0.49,NA,NA,0.68,16,26,NA,20,30
"27",2,"Ene",2017,3,0.47,NA,NA,0.63,14,26,NA,10,30
"28",2,"Ene",2017,4,0.45,NA,NA,0.57,16,26,NA,21,26
"29",2,"Ene",2017,5,0.42,NA,NA,0.49,15,27,NA,16,28
"30",2,"Ene",2017,6,0.38,NA,NA,0.4,16,29,NA,7,31
"31",2,"Ene",2017,7,0.34,NA,NA,0.36,18,33,NA,8,33
"32",2,"Ene",2017,8,0.33,NA,NA,0.37,21,35,NA,7,36
"33",2,"Ene",2017,9,0.33,NA,NA,0.37,20,38,NA,5,37
"34",2,"Ene",2017,10,0.33,NA,NA,0.39,19,39,NA,6,40
"35",2,"Ene",2017,11,0.33,NA,NA,0.45,17,42,NA,7,44
"36",2,"Ene",2017,12,0.35,NA,NA,0.51,16,45,NA,5,48
"37",2,"Ene",2017,13,0.37,NA,NA,0.6,16,48,NA,5,51
"38",2,"Ene",2017,14,0.4,NA,NA,0.71,NA,51,NA,6,54
"39",2,"Ene",2017,15,0.43,NA,NA,0.78,NA,53,NA,6,61
"40",2,"Ene",2017,16,0.45,NA,NA,0.83,NA,55,NA,6,64
"41",2,"Ene",2017,17,0.45,NA,NA,0.87,12,57,NA,6,66
"42",2,"Ene",2017,18,0.46,NA,NA,0.92,11,59,NA,7,68
"43",2,"Ene",2017,19,0.48,NA,NA,0.95,11,60,NA,9,70
"44",2,"Ene",2017,20,0.49,NA,NA,0.96,12,61,NA,7,73
"45",2,"Ene",2017,21,0.51,NA,NA,0.94,11,61,NA,10,74
"46",2,"Ene",2017,22,0.51,NA,NA,0.9,11,61,NA,10,77
"47",2,"Ene",2017,23,0.51,NA,NA,0.86,9,59,NA,9,74
"48",2,"Ene",2017,24,0.52,NA,NA,0.8,8,57,NA,6,72
"49",3,"Ene",2017,1,0.53,4,NA,0.75,8,56,NA,6,72
"50",3,"Ene",2017,2,0.54,4,NA,0.68,8,56,NA,4,73
"51",3,"Ene",2017,3,0.54,3,NA,0.6,9,56,NA,4,73
"52",3,"Ene",2017,4,0.52,2,NA,0.54,10,57,NA,4,74
"53",3,"Ene",2017,5,0.51,2,NA,0.48,7,57,NA,3,75
"54",3,"Ene",2017,6,0.5,2,NA,0.43,3,55,NA,4,74
"55",3,"Ene",2017,7,0.49,2,NA,0.39,4,53,NA,3,71
"56",3,"Ene",2017,8,0.48,3,NA,0.37,5,50,NA,4,70
"57",3,"Ene",2017,9,0.48,3,NA,0.37,7,47,NA,4,67
"58",3,"Ene",2017,10,0.49,3,NA,0.38,7,46,NA,5,66
"59",3,"Ene",2017,11,0.51,3,NA,0.4,7,44,NA,5,62
"60",3,"Ene",2017,12,0.55,3,NA,0.44,8,40,NA,4,59
"61",3,"Ene",2017,13,0.58,NA,NA,0.47,7,39,NA,5,58
"62",3,"Ene",2017,14,0.65,NA,NA,0.49,NA,36,NA,4,59
"63",3,"Ene",2017,15,0.72,NA,NA,0.51,NA,34,NA,5,52
"64",3,"Ene",2017,16,0.8,NA,NA,NA,7,33,NA,4,49
"65",3,"Ene",2017,17,0.87,NA,NA,NA,9,31,NA,5,46
"66",3,"Ene",2017,18,0.91,NA,NA,NA,8,29,NA,4,43
"67",3,"Ene",2017,19,0.92,NA,NA,NA,9,28,NA,6,43
"68",3,"Ene",2017,20,0.94,NA,NA,NA,11,NA,NA,5,44
"69",3,"Ene",2017,21,0.96,NA,NA,NA,9,NA,NA,5,43
"70",3,"Ene",2017,22,0.96,NA,NA,NA,8,NA,NA,6,40
"71",3,"Ene",2017,23,0.94,NA,NA,NA,8,NA,NA,5,37
"72",3,"Ene",2017,24,0.89,NA,NA,NA,6,NA,NA,6,37
"73",4,"Ene",2017,1,0.86,NA,NA,NA,7,NA,NA,6,36
"74",4,"Ene",2017,2,0.85,NA,NA,NA,12,NA,NA,6,35
"75",4,"Ene",2017,3,NA,NA,NA,NA,14,NA,NA,7,36
"76",4,"Ene",2017,4,NA,NA,NA,NA,12,NA,NA,7,36
"77",4,"Ene",2017,5,NA,NA,NA,NA,11,NA,NA,7,34
"78",4,"Ene",2017,6,NA,NA,NA,NA,11,NA,NA,8,35
"79",4,"Ene",2017,7,NA,NA,NA,NA,14,NA,NA,9,36
"80",4,"Ene",2017,8,NA,NA,NA,NA,16,NA,NA,8,36
"81",4,"Ene",2017,9,NA,NA,NA,NA,15,NA,NA,8,36
"82",4,"Ene",2017,10,NA,NA,NA,NA,18,NA,NA,7,35
