"","dia","mes","anio","hora","co_centenario","no2_centenario","pm10_centenario","co_cordoba","no2_cordoba","pm10_cordoba","co_la_boca","no2_la_boca","pm10_la_boca"
"1",1,"Ene",2018,1,0.43,9,25,0.47,14,24,0.37,28,23
"2",1,"Ene",2018,2,0.44,11,27,0.53,20,24,0.39,28,26
"3",1,"Ene",2018,3,0.46,13,30,0.59,21,26,0.4,29,29
"4",1,"Ene",2018,4,0.47,14,32,0.65,20,28,0.41,25,30
"5",1,"Ene",2018,5,0.47,12,32,0.71,17,28,0.41,16,31
"6",1,"Ene",2018,6,0.44,12,33,0.74,16,29,0.39,12,32
"7",1,"Ene",2018,7,0.41,9,33,0.77,15,29,0.37,16,32
"8",1,"Ene",2018,8,0.37,8,33,0.79,14,29,0.34,14,32
"9",1,"Ene",2018,9,0.35,NA,33,0.78,16,29,0.32,12,32
"10",1,"Ene",2018,10,0.42,NA,34,0.73,7,28,0.3,10,32
"11",1,"Ene",2018,11,0.41,5,34,0.68,5,28,0.28,12,32
"12",1,"Ene",2018,12,0.4,5,35,0.62,4,28,0.26,12,31
"13",1,"Ene",2018,13,0.4,5,35,0.58,4,27,0.25,14,31
"14",1,"Ene",2018,14,0.39,6,35,0.55,6,27,0.24,18,31
"15",1,"Ene",2018,15,0.39,7,NA,0.53,8,26,0.24,16,30
"16",1,"Ene",2018,16,0.39,8,NA,0.52,8,26,0.23,18,30
"17",1,"Ene",2018,17,0.37,6,NA,0.51,7,26,0.24,15,30
"18",1,"Ene",2018,18,0.28,10,NA,0.51,6,25,0.23,20,30
"19",1,"Ene",2018,19,0.25,5,NA,0.52,9,26,0.23,20,31
"20",1,"Ene",2018,20,0.25,7,NA,0.54,10,26,0.24,25,31
"21",1,"Ene",2018,21,0.25,8,NA,0.56,10,27,0.25,22,31
"22",1,"Ene",2018,22,0.26,8,NA,0.57,13,26,0.26,23,30
"23",1,"Ene",2018,23,0.27,11,NA,0.58,13,25,0.28,23,29
"24",1,"Ene",2018,24,0.28,9,NA,0.6,15,25,0.29,24,28
"25",2,"Ene",2018,1,0.29,10,NA,0.62,16,24,0.3,22,26
"26",2,"Ene",2018,2,0.29,8,NA,0.63,9,23,0.31,19,22
"27",2,"Ene",2018,3,0.29,8,NA,0.63,8,21,0.31,14,19
"28",2,"Ene",2018,4,0.28,8,NA,0.62,8,19,0.31,16,18
"29",2,"Ene",2018,5,0.26,5,NA,0.6,11,18,0.31,19,17
"30",2,"Ene",2018,6,0.26,10,NA,0.6,11,18,0.32,24,17
