Club,Equipo,J,G,E,P,TF,TC,Dif,Total,Bonus,Puntaje
ASOC. ALUMNI,Primera,5,3,1,1,118,84,34,14,2,16
AT. DEL ROSARIO,Primera,5,1,1,3,107,142,-35,6,1,7
BELGRANO ATL.,Primera,5,3,1,1,164,149,15,14,0,14
C.A.SAN ISIDRO,Primera,5,1,0,4,86,137,-51,4,1,5
C.U.B.A.,Primera,5,3,0,2,127,122,5,12,2,14
HINDU CLUB,Primera,5,3,0,2,150,146,4,12,1,13
LA PLATA RUGBY,Primera,5,2,0,3,125,152,-27,8,1,9
NEWMAN,Primera,5,0,1,4,100,135,-35,2,1,3
PUCARA,Primera,5,3,0,2,154,126,28,12,3,15
REGATAS BELLA VISTA,Primera,5,4,0,1,116,89,27,16,1,17
SAN ISIDRO CLUB,Primera,5,4,0,1,141,101,40,16,2,18
SAN LUIS,Primera,5,1,0,4,80,85,-5,4,4,8
ASOC. ALUMNI,Intermedia,5,3,1,1,159,85,74,14,2,16
AT. DEL ROSARIO,Intermedia,5,1,0,4,96,200,-104,4,1,5
BELGRANO ATL.,Intermedia,5,5,0,0,250,101,149,20,4,24
C.A.SAN ISIDRO,Intermedia,5,2,0,3,147,147,0,8,1,9
C.U.B.A.,Intermedia,5,4,0,1,168,144,24,16,2,18
HINDU CLUB,Intermedia,5,0,0,5,97,198,-101,0,1,1
LA PLATA RUGBY,Intermedia,5,2,0,3,156,161,-5,8,2,10
NEWMAN,Intermedia,5,3,0,2,103,96,7,12,2,14
PUCARA,Intermedia,5,2,0,3,120,166,-46,8,1,9
REGATAS BELLA VISTA,Intermedia,5,2,0,3,120,115,5,8,2,10
SAN ISIDRO CLUB,Intermedia,5,3,1,1,123,94,29,14,1,15
SAN LUIS,Intermedia,5,2,0,3,112,144,-32,8,1,9
ASOC. ALUMNI,PreA,5,2,0,3,101,100,1,8,2,10
AT. DEL ROSARIO,PreA,5,1,0,4,136,256,-120,4,0,4
BELGRANO ATL.,PreA,5,4,0,1,212,128,84,16,5,21
C.A.SAN ISIDRO,PreA,5,2,0,3,186,121,65,8,3,11
C.U.B.A.,PreA,5,5,0,0,209,110,99,20,2,22
HINDU CLUB,PreA,5,3,0,2,168,171,-3,12,1,13
LA PLATA RUGBY,PreA,5,2,0,3,90,198,-108,8,0,8
NEWMAN,PreA,5,3,0,2,154,145,9,12,2,14
PUCARA,PreA,5,1,0,4,107,151,-44,4,1,5
REGATAS BELLA VISTA,PreA,5,1,0,4,111,132,-21,4,3,7
SAN ISIDRO CLUB,PreA,5,4,0,1,155,97,58,16,1,17
SAN LUIS,PreA,5,2,0,3,116,136,-20,8,1,9
ASOC. ALUMNI,PreB,5,5,0,0,165,78,87,20,3,23
AT. DEL ROSARIO,PreB,5,3,0,2,167,161,6,12,2,14
BELGRANO ATL.,PreB,5,4,0,1,157,88,69,16,2,18
C.A.SAN ISIDRO,PreB,5,3,0,2,156,122,34,12,4,16
C.U.B.A.,PreB,5,2,0,3,121,140,-19,8,3,11
HINDU CLUB,PreB,5,3,0,2,161,102,59,12,3,15
LA PLATA RUGBY,PreB,5,1,0,4,130,171,-41,4,2,6
NEWMAN,PreB,5,3,0,2,185,150,35,12,2,14
PUCARA,PreB,5,1,0,4,90,156,-66,4,0,4
REGATAS BELLA VISTA,PreB,5,2,0,3,84,131,-47,8,0,8
SAN ISIDRO CLUB,PreB,5,2,0,3,125,150,-25,8,3,11
SAN LUIS,PreB,5,1,0,4,70,162,-92,4,1,5
ASOC. ALUMNI,PreC,5,2,0,3,152,187,-35,8,0,8
AT. DEL ROSARIO,PreC,5,1,0,4,123,215,-92,4,2,6
BELGRANO ATL.,PreC,5,2,0,3,121,132,-11,8,2,10
C.A.SAN ISIDRO,PreC,5,4,0,1,187,117,70,16,2,18
C.U.B.A.,PreC,5,5,0,0,222,89,133,20,3,23
HINDU CLUB,PreC,5,1,1,3,125,174,-49,6,1,7
LA PLATA RUGBY,PreC,5,0,0,5,86,203,-117,0,1,1
NEWMAN,PreC,5,3,0,2,165,121,44,12,2,14
PUCARA,PreC,5,3,0,2,180,111,69,12,3,15
REGATAS BELLA VISTA,PreC,5,1,1,3,134,180,-46,6,0,6
SAN ISIDRO CLUB,PreC,5,3,0,2,158,161,-3,12,1,13
SAN LUIS,PreC,5,4,0,1,154,117,37,16,3,19
ASOC. ALUMNI,M23,4,2,0,2,119,89,30,8,2,10
AT. DEL ROSARIO,M23,0,0,0,0,0,0,0,0,0,0
BELGRANO ATL.,M23,5,5,0,0,275,98,177,20,4,24
C.A.SAN ISIDRO,M23,5,1,1,3,95,167,-72,6,2,8
C.U.B.A.,M23,4,1,0,3,67,117,-50,4,1,5
HINDU CLUB,M23,0,0,0,0,0,0,0,0,0,0
LA PLATA RUGBY,M23,5,4,1,0,155,72,83,18,1,19
NEWMAN,M23,0,0,0,0,0,0,0,0,0,0
PUCARA,M23,5,1,0,4,125,211,-86,4,1,5
REGATAS BELLA VISTA,M23,0,0,0,0,0,0,0,0,0,0
SAN ISIDRO CLUB,M23,4,2,0,2,148,88,60,8,4,12
SAN LUIS,M23,5,0,1,4,49,232,-183,2,0,2
